Campaign,Ad group,Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Description 1,Description 2
AF_Search_Engines_HighIntent,Toyota Corolla Engine,Paused,Responsive search ad,https://asia-power.com/engines/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_engines_highintent&utm_content=toyota_corolla_engine&utm_term=%7Bkeyword%7D,corolla,engine,Toyota Corolla Engine Africa,2007-2013 — Real China Stock,Ship To West and North Africa,Send Model And Year,1ZR Engine Available,Customs Support,Real Inventory Photos,Looking for a Corolla engine? We source used stock from China and ship to Africa.,"Browse Corolla engines at asia-power.com. Send model, year and destination."
AF_Search_Engines_HighIntent,Toyota Camry Engine,Paused,Responsive search ad,https://asia-power.com/engines/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_engines_highintent&utm_content=toyota_camry_engine&utm_term=%7Bkeyword%7D,camry,engine,Toyota Camry Engine Africa,2007 2009 2010 — Used Stock,China to Africa · Shipping,Send Model And Year,1AZ · 2AZ Engines,Customs Support,Real Inventory Photos,Need a Camry engine? Real used stock from China with shipping support to Africa.,Browse Camry engines at asia-power.com. Send model and year for quote.
AF_Search_Engines_HighIntent,Toyota Vitz Yaris Engine,Paused,Responsive search ad,https://asia-power.com/engines/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_engines_highintent&utm_content=toyota_vitz_yaris_engine&utm_term=%7Bkeyword%7D,vitz,engine,Toyota Vitz Engine Africa,Yaris · 1NZ · 2NZ Stock,China Sourced · Ship To Africa,Send Model And Year,Real Inventory Photos,Customs Support,AsiaPower Auto Parts,Used Vitz and Yaris engines from China. Shipping and customs support to Africa.,Browse Vitz engines at asia-power.com. Send model and year.
AF_Search_Engines_HighIntent,Toyota RAV4 Prado Engine,Paused,Responsive search ad,https://asia-power.com/engines/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_engines_highintent&utm_content=toyota_rav4_prado_engine&utm_term=%7Bkeyword%7D,rav4,parts,RAV4 and Prado Engine Africa,RAV4 2009 · Prado Stock,China Sourced · Ship To Africa,Send Model And Year,Customs Support,Real Inventory Photos,AsiaPower Auto Parts,Used Toyota RAV4 and Land Cruiser Prado parts from China with shipping support.,Browse RAV4 and Prado stock at asia-power.com. Send model and year.
AF_Search_Engines_HighIntent,Hyundai Kia SUV Engine,Paused,Responsive search ad,https://asia-power.com/engines/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_engines_highintent&utm_content=hyundai_kia_suv_engine&utm_term=%7Bkeyword%7D,ix35,engine,Hyundai ix35 Engine Africa,Tucson · ix35 2010 2012,Ship To West and North Africa,Send Model And Year,G4KD · G4NA Engines,Real Inventory Photos,AsiaPower Auto Parts,Looking for ix35 or Tucson engine? Used stock from China with shipping support.,Browse ix35 stock at asia-power.com. Send model and year.
AF_Search_Engines_HighIntent,Hyundai Kia Sedan Engine,Paused,Responsive search ad,https://asia-power.com/engines/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_engines_highintent&utm_content=hyundai_kia_sedan_engine&utm_term=%7Bkeyword%7D,elantra,engine,Hyundai Elantra Engine Africa,Sonata · Elantra · Santa Fe,China Sourced · Ship To Africa,Send Model And Year,G4FC Engine Available,Customs Support,Real Inventory Photos,Used Hyundai Elantra Sonata engines from China with shipping support to Africa.,Browse Hyundai stock at asia-power.com. Send model and year.
AF_Search_Engines_HighIntent,Nissan Engine,Paused,Responsive search ad,https://asia-power.com/engines/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_engines_highintent&utm_content=nissan_engine&utm_term=%7Bkeyword%7D,qashqai,engine,Nissan Qashqai Engine Africa,X-Trail · Qashqai 2008 2010,China Sourced · Ship To Africa,Send Model And Year,HR16 · QR25 Engines,Customs Support,Real Inventory Photos,Looking for Qashqai or X-Trail engine? Used stock from China with shipping support.,Browse Nissan stock at asia-power.com. Send model and year.
AF_Search_Engines_HighIntent,Honda CR-V Engine,Paused,Responsive search ad,https://asia-power.com/engines/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_engines_highintent&utm_content=honda_crv_engine&utm_term=%7Bkeyword%7D,crv,engine,Honda CR-V Engine Africa,2007 2008 2009 2010 Stock,China Sourced · Ship To Africa,Send Model And Year,Real Inventory Photos,Customs Support,AsiaPower Auto Parts,Looking for a CRV engine? Used stock from China with shipping support to Africa.,Browse CR-V engines at asia-power.com. Send model and year.
AF_Search_Engines_HighIntent,Honda Accord Civic Engine,Paused,Responsive search ad,https://asia-power.com/engines/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_engines_highintent&utm_content=honda_accord_civic_engine&utm_term=%7Bkeyword%7D,honda,engine,Honda Accord and Civic Africa,2008 2009 2010 · K24 Stock,China to Africa · Shipping,Send Model And Year,Real Inventory Photos,Customs Support,AsiaPower Auto Parts,Need an Accord or Civic engine? Used stock from China with shipping support.,Browse Honda engines at asia-power.com. Send model and year.
AF_Search_Gearboxes_HighIntent,Toyota Gearbox,Paused,Responsive search ad,https://asia-power.com/gearboxes/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_gearboxes_highintent&utm_content=toyota_gearbox&utm_term=%7Bkeyword%7D,gearbox,toyota,Gearboxes For Africa,Corolla · Camry Gearboxes,AT MT CVT Available,China Stock · Ship To Africa,Send Model And Year,Customs Support,AsiaPower Auto Parts,"Find used gearboxes from China stock. Send vehicle model, year and gearbox type.",We help Africa buyers source and ship used gearboxes from China.
AF_Search_Gearboxes_HighIntent,Hyundai Kia Gearbox,Paused,Responsive search ad,https://asia-power.com/gearboxes/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_gearboxes_highintent&utm_content=hyundai_kia_gearbox&utm_term=%7Bkeyword%7D,gearbox,hyundai,Hyundai Gearbox Africa,ix35 · Sportage Gearboxes,Automatic · Manual · CVT,China Stock · Ship To Africa,Send Model And Year,Customs Support,AsiaPower Auto Parts,Used Hyundai and Kia gearboxes from China with shipping support to Africa.,Browse gearbox stock at asia-power.com. Send model and year.
AF_Search_HalfCuts_Import,Half Cut Africa,Paused,Responsive search ad,https://asia-power.com/half-cuts/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_halfcuts_import&utm_content=half_cut_africa&utm_term=%7Bkeyword%7D,half-cut,africa,Half Cut Cars From China,Corolla · CRV · ix35 More,Real Donor Car Photos,Engines Gearboxes Half Cuts,Ship To Africa,Customs Support,AsiaPower Auto Parts,Browse half-cut stock photos before quote. Choose the part and we arrange shipping.,"Engines, gearboxes and half-cuts from China for Africa workshops and importers."
AF_Search_Import_FromChina,China To Africa Auto Parts,Paused,Responsive search ad,https://asia-power.com/?utm_source=google&utm_medium=cpc&utm_campaign=af_search_import_fromchina&utm_content=china_to_africa_auto_parts&utm_term=%7Bkeyword%7D,china,africa,Auto Parts China To Africa,Used Engines From China,Car Parts For Africa,We Handle Shipping,Engines Gearboxes Half Cuts,Send Your Request,AsiaPower Auto Parts,Tell us the part you need. We source from China stock and arrange shipping to Africa.,"Engines, gearboxes and half-cuts for Africa workshops. Send model, year and destination."
